"","measured","predicted","sd","abs_delta","delta_ratio","CRPS"
"94",29.1,22.8669759769675,3.84492620553663,6.23302402303252,0.214193265396307,-4.2337787668067
"95",33.3,27.6229194716501,3.31486084778258,5.67708052834993,0.170482898749247,-3.92443559385945
"96",27.4,34.0089290723259,3.25399132259252,6.6089290723259,0.241201790960799,-4.82389094089287
"97",34.6,28.3742820323738,3.98812134524881,6.22571796762618,0.179934045307115,-4.17874771611705
"98",28.5,28.1814963345473,4.2428466281343,0.318503665452713,0.0111755672088671,-1.00106600278052
"99",22.9,28.339279275298,3.26532696060818,5.43927927529799,0.237523112458428,-3.72677670050233
"100",28.6,26.0031875717087,2.98735885817863,2.59681242829132,0.0907976373528434,-1.54597839306166
"101",29.1,25.8979290374457,2.95453765736011,3.20207096255427,0.110036802836916,-1.95380213501037
"102",23.2,28.9598195223539,3.99687677605084,5.7598195223539,0.248268082860082,-3.77241086639993
"103",46.2,33.2657039472973,4.95666060887306,12.9342960527027,0.279963118023867,-10.1518797318503
"104",27.6,19.531388042178,6.75315414674895,8.06861195782205,0.292341012964567,-5.02442007074856
"105",49.1,46.6972449619585,9.59179015309904,2.40275503804155,0.0489359478216201,-2.48042595288537
"106",59.3,58.1943787206684,7.86009962295133,1.10562127933156,0.0186445409668054,-1.89880699214606
"107",68,65.1349697829363,9.02495920499106,2.86503021706366,0.0421327973097597,-2.46891755438976
"108",74.2,62.1913351701649,10.0194638216147,12.0086648298351,0.161841844067859,-7.4834059963079
"109",63.4,64.9831807914638,8.57916366558565,1.5831807914638,0.0249713058590504,-2.12113153769883
"110",64.5,60.5425900555656,8.90443347927116,3.95740994443443,0.0613551929369679,-2.77125488044172
"111",58,53.3008392766996,9.62860225394963,4.69916072330037,0.081020012470696,-3.14734836702933
"112",41,48.1935693707112,7.65234017539291,7.1935693707112,0.175452911480761,-4.30367632944441
"113",48.6,45.5307011870631,9.67853427248326,3.06929881293686,0.0631542965624868,-2.64691320515091
"114",60.1,57.0667795641882,8.2507834846594,3.03322043581178,0.050469558000196,-2.36808276816444
"115",70.6,64.1719337430983,9.56449741656279,6.42806625690166,0.091049097123253,-3.89660745315651
"116",58,57.0377874743783,10.650377807621,0.962212525621659,0.0165898711314079,-2.52359686614382
"117",50.9,42.9927043823735,7.84935765478118,7.90729561762652,0.155349619206808,-4.76843454557718
"118",50.6,59.7043182498818,11.0771440021428,9.10431824988178,0.179927238139956,-5.41655134562568
"119",33.6,25.3663150737875,7.13765760060499,8.23368492621245,0.245050146613466,-5.08691073972258
"120",32.7,31.1532831432321,8.06155145082434,1.54671685676794,0.0473002096870931,-2.00197170935838
"121",32.7,27.6820253946914,10.1767171876454,5.01797460530858,0.153454880896287,-3.34581980750076
"122",19,24.8319148803994,7.12901141490305,5.83191488039937,0.306942888442072,-3.46985425721477
"123",16,17.7962199726483,6.78312365621025,1.79621997264831,0.112263748290519,-1.77383847842224
"124",14,17.5232861182715,8.01689596845243,3.5232861182715,0.25166329416225,-2.48148580634984
"125",10.9,23.804184999602,4.29946529751087,12.904184999602,1.18387018344973,-10.4817419874609
